,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
379,2022-01-15,148,2345150,323312995,5512,5550159
380,2022-01-16,57,2248962,325561957,4868,5555027
381,2022-01-17,67,2003370,327565327,5385,5560412
382,2022-01-18,316,1865258,329430585,5872,5566284
383,2022-01-19,167,2794921,332225506,6431,5572715
384,2022-01-20,101,2923582,335149088,6500,5579215
385,2022-01-21,215,8590731,343739819,20623,5599838
386,2022-01-22,153,2940546,346680365,6503,5606341
387,2022-01-23,169,2687380,349367745,5906,5612247
388,2022-01-24,143,2379321,351747066,5559,5617806
389,2022-01-25,179,2244820,353991886,6895,5624701
390,2022-01-26,122,3047423,357039309,7309,5632010
391,2022-01-27,235,3134596,360173905,7338,5639348
392,2022-01-28,248,7427746,367601651,24156,5663504
393,2022-01-29,165,2912511,370514162,7740,5671244
394,2022-01-30,72,2635078,373149240,7090,5678334
395,2022-01-31,108,2542315,375691555,7140,5685474
396,2022-02-01,230,2148822,377840377,7627,5693101
397,2022-02-02,246,2844882,380685259,8931,5702032
398,2022-02-03,254,2860176,383545435,8655,5710687
399,2022-02-04,172,5374074,388919509,25950,5736637
400,2022-02-05,167,2644316,391563825,8785,5745422
401,2022-02-06,76,2202217,393766042,6914,5752336
402,2022-02-07,110,1942947,395708989,7949,5760285
403,2022-02-08,149,1821448,397530437,8401,5768686
404,2022-02-09,106,2684617,400215054,8972,5777658
405,2022-02-10,305,2432205,402647259,9290,5786948
406,2022-02-11,188,3743862,406391121,24877,5811825
407,2022-02-12,119,2123364,408514485,8322,5820147
408,2022-02-13,111,1769532,410284017,7673,5827820
409,2022-02-14,101,1544027,411828044,6625,5834445
410,2022-02-15,344,1532136,413360180,7497,5841942
411,2022-02-16,178,1915768,415275948,7970,5849912
412,2022-02-17,80,1959964,417235912,8083,5857995
413,2022-02-18,106,2845127,420081039,23575,5881570
414,2022-02-19,109,1770484,421851523,7916,5889486
415,2022-02-20,116,1523166,423374689,7310,5896796
416,2022-02-21,77,1293611,424668300,6389,5903185
417,2022-02-22,99,1326451,425994751,6958,5910143
418,2022-02-23,85,1719951,427714702,6875,5917018
419,2022-02-24,108,1736888,429451590,7385,5924403
420,2022-02-25,121,2176378,431627968,19715,5944118
421,2022-02-26,93,1526857,433154825,6794,5950912
422,2022-02-27,118,1245659,434400484,5120,5956032
423,2022-02-28,95,1227696,435628180,6260,5962292
424,2022-03-01,105,1201630,436829810,6103,5968395
425,2022-03-02,96,1532768,438362578,5922,5974317
426,2022-03-03,109,1561878,439924456,5658,5979975
427,2022-03-04,73,2016103,441940559,17486,5997461
428,2022-03-05,41,1610816,443551375,6054,6003515
429,2022-03-06,70,1430416,444981791,5200,6008715
430,2022-03-07,81,1289089,446270880,4907,6013622
431,2022-03-08,52,1282781,447553661,5035,6018657
432,2022-03-09,60,1753770,449307431,4920,6023577
433,2022-03-10,78,1853022,451160453,5347,6028924
434,2022-03-11,74,2005588,453166041,14526,6043450
435,2022-03-12,75,1741345,454907386,4984,6048434
436,2022-03-13,108,1778082,456685468,4414,6052848
437,2022-03-14,148,1338513,458023981,4183,6057031
438,2022-03-15,200,1532803,459556784,4364,6061395
439,2022-03-16,134,2030371,461587155,4357,6065752
440,2022-03-17,115,2209555,463796710,4835,6070587
441,2022-03-18,119,2229310,466026020,12727,6083314
442,2022-03-19,163,1728443,467754463,4325,6087639
443,2022-03-20,97,1694598,469449061,3848,6091487
444,2022-03-21,90,1165640,470614701,3892,6095379
445,2022-03-22,135,1359631,471974332,15144,6110523
446,2022-03-23,96,1993466,473967798,3768,6114291
447,2022-03-24,118,1788347,475756145,4238,6118529
448,2022-03-25,119,1861271,477617416,9843,6128372
449,2022-03-26,116,1589060,479206476,7574,6135946
450,2022-03-27,82,1365834,480572310,3174,6139120
451,2022-03-28,54,974355,481546665,2983,6142103
452,2022-03-29,94,1406585,482953250,3286,6145389
453,2022-03-30,87,1709592,484662842,3860,6149249
454,2022-03-31,89,1518271,486181113,3565,6152814
455,2022-04-01,100,1589743,487770856,8532,6161346
456,2022-04-02,71,1264336,489035192,3590,6164936
457,2022-04-03,62,1020534,490055726,2803,6167739
458,2022-04-04,53,796128,490851854,2457,6170196
459,2022-04-05,115,901485,491753339,2893,6173089
460,2022-04-06,120,1292404,493045743,2979,6176068
461,2022-04-07,110,1297777,494343520,3037,6179105
462,2022-04-08,134,1319724,495663244,6926,6186031
463,2022-04-09,81,1020296,496683540,2852,6188883
464,2022-04-10,41,847873,497531413,2532,6191415
